original_email,expected_output,extracted_signature
"Hi team,  Please find attached the monthly report. It contains a detailed breakdown of our performance metrics, sales figures, and key accomplishments for the month. I've also included some insights and recommendations based on the data.  Let me know if you have any questions or need further clarification on any of the points mentioned.  Best, Sara",{'name': 'Sara'},{'name': 'Sara'}
"Dear Team,  This is a reminder for our upcoming meeting tomorrow at 10 AM. We will be discussing the project milestones, timelines, and any potential roadblocks we might face. Your inputs and feedback will be crucial for the success of our project.  Please ensure that you have reviewed the agenda and come prepared with your updates and any questions you might have.  Best regards, Michael Brown Project Manager XYZ Solutions michael.brown@xyzsolutions.com","{'name': 'Michael Brown', 'email': 'michael.brown@xyzsolutions.com', 'job_title': 'Project Manager', 'company': 'XYZ Solutions'}","{'name': 'Michael Brown', 'email': 'michael.brown@xyzsolutions.com', 'job_title': 'Project Manager', 'company': 'XYZ Solutions'}"
"Hi everyone,  Just a quick note to let you know I'll be out of the office next week. During my absence, please reach out to Jane for any urgent matters. She will be handling my responsibilities and can assist you with any issues that arise.  I'll be checking my emails periodically and will try to respond to anything urgent as soon as I can.  Cheers, Kevin Lee  Senior Developer (555) 987-6543","{'name': 'Kevin Lee', 'job_title': 'Senior Developer', 'phone': '(555) 987-6543'}","{'name': 'Kevin Lee', 'job_title': 'Senior Developer', 'phone': '(555) 987-6543'}"
"Hello,  Thank you for your interest in our services. We will get back to you shortly with more details. Our team is currently reviewing your request and will provide you with the necessary information and next steps.  If you have any specific questions in the meantime, feel free to reach out to me directly.  Best, Emily Emily Rogers Marketing Specialist emily.rogers@marketingco.com MarketingCo","{'name': 'Emily Rogers', 'email': 'emily.rogers@marketingco.com', 'job_title': 'Marketing Specialist', 'company': 'MarketingCo'}","{'name': 'Emily Rogers', 'email': 'emily.rogers@marketingco.com', 'job_title': 'Marketing Specialist', 'company': 'MarketingCo'}"
"Hi,  Can you please send me the latest sales figures? We need them for the upcoming board meeting on Friday. It's important that we have the most up-to-date data to present our progress and set new targets.  Thanks in advance for your prompt response.  Thanks, Alan",{'name': 'Alan'},{'name': 'Alan'}
"Dear Customer,  Your order has been shipped and will arrive within 5-7 business days. You can track your order using the tracking number provided in this email. If you have any questions or concerns about your order, please don't hesitate to contact our support team.  Thank you for shopping with us. We appreciate your business and hope you enjoy your purchase.  Sincerely, Customer Service Team support@shoponline.com ShopOnline Inc. www.shoponline.com","{'email': 'support@shoponline.com', 'company': 'ShopOnline Inc.', 'website': 'www.shoponline.com'}","{'name': 'Customer Service Team', 'email': 'support@shoponline.com', 'company': 'ShopOnline Inc.', 'website': 'www.shoponline.com'}"
"Hey,  I'll be joining the team call today at 3 PM. I have a few updates to share regarding the current project and some new ideas I'd like to discuss. Looking forward to catching up with everyone and hearing your thoughts.  Regards, John",{'name': 'John'},{'name': 'John'}
"Dear Alice,  Thank you for reaching out. I have forwarded your request to the relevant department, and they will get back to you shortly. In the meantime, if you need any additional information or assistance, please let me know.  Best, Rebecca White Sales Manager rebecca.white@salescorp.com SalesCorp","{'name': 'Rebecca White', 'email': 'rebecca.white@salescorp.com', 'job_title': 'Sales Manager', 'company': 'SalesCorp'}","{'name': 'Rebecca White', 'email': 'rebecca.white@salescorp.com', 'job_title': 'Sales Manager', 'company': 'SalesCorp'}"
"Hi,  I'm confirming our lunch meeting for tomorrow at 1 PM. I'll make a reservation at our usual spot. If you have any preferences or dietary restrictions, please let me know in advance.  Looking forward to catching up and discussing our latest project.  Cheers, David",{'name': 'David'},{'name': 'David'}
"Hello,  Please review the attached document and let me know your thoughts. It outlines the new HR policies we are considering implementing next quarter. Your feedback is crucial to ensure that these policies meet the needs of all employees.  Regards, Nina Thompson HR Manager nina.thompson@hrsolutions.com HR Solutions","{'name': 'Nina Thompson', 'email': 'nina.thompson@hrsolutions.com', 'job_title': 'HR Manager', 'company': 'HR Solutions'}","{'name': 'Nina Thompson', 'email': 'nina.thompson@hrsolutions.com', 'job_title': 'HR Manager', 'company': 'HR Solutions'}"
