extracted_signature,original_content,expected_output
"```json
{
    ""name"": ""Grace Thompson"",
    ""email"": ""grace.thompson@events.com"",
    ""phone"": ""+1 (555) 432-1098"",
    ""job_title"": ""Event Coordinator"",
    ""company"": ""Events Corp."",
    ""website"": ""www.events.com"",
    ""social_media"": {
        ""linkedin"": ""linkedin.com/in/gracethompson""
    }
}
```","Hello,

Please find below the details of the upcoming event.

Thank you,
Grace Thompson
Event Coordinator
grace.thompson@events.com
Events Corp.
Phone: +1 (555) 432-1098
Website: www.events.com
LinkedIn: linkedin.com/in/gracethompson","{'name': 'Grace Thompson', 'email': 'grace.thompson@events.com', 'job_title': 'Event Coordinator', 'company': 'Events Corp.', 'phone': '+1 (555) 432-1098', 'website': 'www.events.com'}"
"```json
{
    ""name"": ""Emily Rogers"",
    ""email"": ""emily.rogers@marketingco.com"",
    ""job_title"": ""Marketing Specialist"",
    ""company"": ""MarketingCo""
}
```","Hello,

Thank you for your interest in our services. We will get back to you shortly with more details.

Best,
Emily
Emily Rogers
Marketing Specialist
emily.rogers@marketingco.com
MarketingCo","{'name': 'Emily Rogers', 'email': 'emily.rogers@marketingco.com', 'job_title': 'Marketing Specialist', 'company': 'MarketingCo'}"
"```json
{
    ""name"": ""Michael Brown"",
    ""email"": ""michael.brown@xyzsolutions.com"",
    ""job_title"": ""Project Manager"",
    ""company"": ""XYZ Solutions""
}
```","Dear Team,

This is a reminder for our upcoming meeting tomorrow at 10 AM.

Best regards,
Michael Brown
Project Manager
XYZ Solutions
michael.brown@xyzsolutions.com","{'name': 'Michael Brown', 'email': 'michael.brown@xyzsolutions.com', 'job_title': 'Project Manager', 'company': 'XYZ Solutions'}"
"```json
{
    ""name"": ""Kevin Lee"",
    ""job_title"": ""Senior Developer"",
    ""phone"": ""(555) 987-6543""
}
```","Hi everyone,

Just a quick note to let you know I'll be out of the office next week.

Cheers,
Kevin Lee

Senior Developer
(555) 987-6543","{'name': 'Kevin Lee', 'job_title': 'Senior Developer', 'phone': '(555) 987-6543'}"
"```json
{
    ""name"": ""Emily Rogers"",
    ""email"": ""emily.rogers@marketingco.com"",
    ""job_title"": ""Marketing Specialist"",
    ""company"": ""MarketingCo""
}
```","Hello,

Thank you for your interest in our services. We will get back to you shortly with more details.

Best,
Emily
Emily Rogers
Marketing Specialist
emily.rogers@marketingco.com
MarketingCo","{'name': 'Emily Rogers', 'email': 'emily.rogers@marketingco.com', 'job_title': 'Marketing Specialist', 'company': 'MarketingCo'}"
"```json
{
    ""name"": ""Alan""
}
```","Hi,

Can you please send me the latest sales figures?

Thanks,
Alan",{'name': 'Alan'}
"```json
{
    ""name"": ""Customer Service Team"",
    ""email"": ""support@shoponline.com"",
    ""company"": ""ShopOnline Inc."",
    ""website"": ""www.shoponline.com""
}
```","Dear Customer,

Your order has been shipped and will arrive within 5-7 business days.

Sincerely,
Customer Service Team
support@shoponline.com
ShopOnline Inc.
www.shoponline.com","{'email': 'support@shoponline.com', 'company': 'ShopOnline Inc.', 'website': 'www.shoponline.com'}"
"```json
{
    ""name"": ""John""
}
```","Hey,

I'll be joining the team call today at 3 PM.

Regards,
John",{'name': 'John'}
"```json
{
    ""name"": ""Rebecca White"",
    ""email"": ""rebecca.white@salescorp.com"",
    ""job_title"": ""Sales Manager"",
    ""company"": ""SalesCorp""
}
```","Dear Alice,

Thank you for reaching out. I have forwarded your request to the relevant department.

Best,
Rebecca White
Sales Manager
rebecca.white@salescorp.com
SalesCorp","{'name': 'Rebecca White', 'email': 'rebecca.white@salescorp.com', 'job_title': 'Sales Manager', 'company': 'SalesCorp'}"
"```json
{
    ""name"": ""David""
}
```","Hi,

I'm confirming our lunch meeting for tomorrow at 1 PM.

Cheers,
David",{'name': 'David'}
"```json
{
    ""name"": ""Nina Thompson"",
    ""email"": ""nina.thompson@hrsolutions.com"",
    ""job_title"": ""HR Manager"",
    ""company"": ""HR Solutions""
}
```","Hello,

Please review the attached document and let me know your thoughts.

Regards,
Nina Thompson
HR Manager
nina.thompson@hrsolutions.com
HR Solutions","{'name': 'Nina Thompson', 'email': 'nina.thompson@hrsolutions.com', 'job_title': 'HR Manager', 'company': 'HR Solutions'}"
"```json
{
    ""name"": ""Lauren Adams"",
    ""email"": ""lauren.adams@abccorp.com"",
    ""phone"": ""+1 (555) 321-9876"",
    ""job_title"": ""Project Coordinator"",
    ""company"": ""ABC Corp.""
}
```","Dear all,

I have updated the project plan. Please review and provide your feedback.

Best,
Lauren Adams
Project Coordinator
ABC Corp.
Phone: +1 (555) 321-9876
Email: lauren.adams@abccorp.com","{'name': 'Lauren Adams', 'email': 'lauren.adams@abccorp.com', 'job_title': 'Project Coordinator', 'company': 'ABC Corp.', 'phone': '+1 (555) 321-9876'}"
"```json
{
    ""name"": ""Mark Robinson"",
    ""email"": ""mark.robinson@procure.com"",
    ""job_title"": ""Procurement Specialist"",
    ""company"": ""Procure Inc.""
}
```","Hi,

Can you send me the contract details?

Thanks,
Mark
Mark Robinson
Procurement Specialist
mark.robinson@procure.com
Procure Inc.","{'name': 'Mark Robinson', 'email': 'mark.robinson@procure.com', 'job_title': 'Procurement Specialist', 'company': 'Procure Inc.'}"
"```json
{
    ""name"": ""Chris Martin"",
    ""email"": ""operations@logisticsco.com"",
    ""job_title"": ""Operations Manager"",
    ""company"": ""Logistics Co.""
}
```","Hello team,

Please see the attached agenda for tomorrow's meeting.

Regards,
Chris
Chris Martin
Operations Manager
operations@logisticsco.com
Logistics Co.","{'name': 'Chris Martin', 'email': 'operations@logisticsco.com', 'job_title': 'Operations Manager', 'company': 'Logistics Co.'}"
